epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.595,1.40871,2.39353,1.32746,0.19709,0.41106,0.24042,0.12534,1.37137,2.44853,1.43664,0.000415189,0.000415189,0.000415189
2,136.199,1.35595,2.21358,1.29019,0.52712,0.36715,0.28933,0.16428,1.27101,1.88436,1.27869,0.00082362,0.00082362,0.00082362
3,204.74,1.32252,2.03292,1.27872,0.72181,0.37109,0.30467,0.17552,1.23503,2.00271,1.25192,0.0012238,0.0012238,0.0012238
4,273.273,1.32421,2.06283,1.26114,0.77673,0.36299,0.32282,0.19174,1.20208,1.94329,1.23499,0.00121287,0.00121287,0.00121287
5,341.865,1.33368,1.98901,1.2639,0.5074,0.45118,0.32726,0.19395,1.27795,2.07693,1.30261,0.0012005,0.0012005,0.0012005
6,410.504,1.30547,1.83349,1.25436,0.33147,0.47798,0.34411,0.19412,1.25533,1.93486,1.28168,0.00118812,0.00118812,0.00118812
7,478.884,1.25387,1.79586,1.23857,0.35845,0.479,0.33909,0.19846,1.27842,1.99741,1.29804,0.00117575,0.00117575,0.00117575
8,547.41,1.29166,1.88725,1.25965,0.3757,0.51337,0.37741,0.22955,1.19628,1.67258,1.23198,0.00116337,0.00116337,0.00116337
9,615.971,1.26865,1.79977,1.25753,0.28381,0.5053,0.37063,0.22108,1.21291,1.73322,1.24872,0.001151,0.001151,0.001151
10,684.233,1.22781,1.77151,1.22664,0.28547,0.48689,0.38407,0.23592,1.15756,1.69865,1.20112,0.00113863,0.00113863,0.00113863
11,752.717,1.22111,1.65169,1.20298,0.32838,0.54959,0.39426,0.24504,1.1721,1.71031,1.22403,0.00112625,0.00112625,0.00112625
12,821.515,1.21908,1.67609,1.23081,0.38958,0.48906,0.39049,0.24908,1.15982,2.11387,1.20747,0.00111388,0.00111388,0.00111388
13,890.338,1.18865,1.67254,1.19695,0.37263,0.49398,0.40446,0.24814,1.19744,1.69409,1.24796,0.0011015,0.0011015,0.0011015
14,958.393,1.20081,1.61668,1.20308,0.60179,0.49076,0.42308,0.2602,1.11724,1.60288,1.18457,0.00108913,0.00108913,0.00108913
15,1027.02,1.17046,1.5874,1.18242,0.39465,0.52299,0.40523,0.24316,1.14533,1.70398,1.20734,0.00107675,0.00107675,0.00107675
16,1095.91,1.16499,1.62012,1.1728,0.41329,0.56708,0.42317,0.26238,1.13401,1.65297,1.19646,0.00106437,0.00106437,0.00106437
17,1164.4,1.12708,1.6112,1.15105,0.3627,0.54176,0.42628,0.27162,1.11749,1.58683,1.17516,0.001052,0.001052,0.001052
18,1233.03,1.13784,1.62827,1.15989,0.37373,0.48441,0.4248,0.27865,1.11206,1.8496,1.17383,0.00103962,0.00103962,0.00103962
19,1301.71,1.14721,1.56208,1.18666,0.40632,0.59134,0.44249,0.29327,1.08397,1.58153,1.15591,0.00102725,0.00102725,0.00102725
20,1370.27,1.11367,1.53556,1.15017,0.37405,0.52151,0.39937,0.24701,1.14649,1.78295,1.20458,0.00101488,0.00101488,0.00101488
21,1438.4,1.10145,1.49489,1.14833,0.39189,0.60237,0.4612,0.30181,1.09978,1.55865,1.17041,0.0010025,0.0010025,0.0010025
22,1506.94,1.12983,1.46614,1.1634,0.45747,0.54504,0.46011,0.2844,1.14051,1.60132,1.20483,0.000990125,0.000990125,0.000990125
23,1575.12,1.10495,1.47683,1.16769,0.3906,0.5531,0.45821,0.30233,1.08796,1.51734,1.15801,0.00097775,0.00097775,0.00097775
24,1643.64,1.1,1.47193,1.1462,0.4237,0.5753,0.48052,0.31673,1.09808,1.58232,1.17537,0.000965375,0.000965375,0.000965375
25,1712.32,1.10686,1.47157,1.1496,0.48134,0.5472,0.48401,0.31751,1.10175,1.69375,1.16945,0.000953,0.000953,0.000953
26,1781.09,1.10512,1.44039,1.15909,0.40979,0.57952,0.44627,0.29713,1.09836,1.58657,1.17128,0.000940625,0.000940625,0.000940625
27,1849.15,1.09964,1.52339,1.14161,0.39571,0.58849,0.47153,0.30512,1.09366,1.57693,1.16394,0.00092825,0.00092825,0.00092825
28,1917.15,1.06292,1.40807,1.12126,0.45249,0.509,0.45929,0.29838,1.08491,1.57162,1.17069,0.000915875,0.000915875,0.000915875
29,1985.51,1.05445,1.38417,1.12218,0.55635,0.51451,0.51516,0.34354,1.08041,1.65281,1.16442,0.0009035,0.0009035,0.0009035
30,2054.2,1.04055,1.42608,1.12098,0.46822,0.57348,0.49446,0.33321,1.07696,1.46517,1.15862,0.000891125,0.000891125,0.000891125
31,2122.3,1.04413,1.37332,1.11344,0.46537,0.54841,0.51222,0.3433,1.09608,1.44742,1.16209,0.00087875,0.00087875,0.00087875
32,2190.39,1.01265,1.32581,1.09567,0.47558,0.53639,0.49456,0.31911,1.1087,1.46513,1.18523,0.000866375,0.000866375,0.000866375
33,2258.69,1.05012,1.33525,1.11405,0.55259,0.50203,0.51573,0.32383,1.15991,1.63671,1.22825,0.000854,0.000854,0.000854
34,2326.83,1.04894,1.34814,1.11179,0.53998,0.53526,0.51383,0.34298,1.07718,1.49921,1.16461,0.000841625,0.000841625,0.000841625
35,2395.13,1.04744,1.33641,1.12299,0.50888,0.54628,0.52781,0.34924,1.07539,1.47395,1.17359,0.00082925,0.00082925,0.00082925
36,2463.75,1.02299,1.26229,1.10504,0.53618,0.52264,0.5349,0.35168,1.09412,1.45356,1.19169,0.000816875,0.000816875,0.000816875
37,2532.52,1.01096,1.3071,1.09798,0.60979,0.52481,0.5588,0.36499,1.08777,1.42156,1.17308,0.0008045,0.0008045,0.0008045
38,2600.95,1.0002,1.282,1.09924,0.4994,0.4977,0.51929,0.342,1.08898,1.42086,1.17155,0.000792125,0.000792125,0.000792125
39,2669.1,1.01365,1.2582,1.09964,0.4989,0.58513,0.53854,0.35467,1.08318,1.34077,1.1668,0.00077975,0.00077975,0.00077975
40,2737.24,1.00413,1.21647,1.09867,0.45896,0.55234,0.50851,0.33013,1.10132,1.39599,1.18017,0.000767375,0.000767375,0.000767375
41,2805.5,0.98567,1.23306,1.10379,0.5075,0.55037,0.54057,0.36277,1.08382,1.38458,1.1647,0.000755,0.000755,0.000755
42,2873.54,0.99491,1.27879,1.09784,0.52228,0.52836,0.50515,0.33016,1.10772,1.4721,1.1862,0.000742625,0.000742625,0.000742625
43,2941.33,0.98018,1.20844,1.08852,0.5261,0.51982,0.52907,0.34673,1.09054,1.5112,1.17163,0.00073025,0.00073025,0.00073025
44,3009.51,0.99608,1.19748,1.08669,0.57217,0.5684,0.56706,0.38168,1.08853,1.34757,1.16829,0.000717875,0.000717875,0.000717875
45,3078.35,0.99789,1.19883,1.0876,0.4658,0.51486,0.49493,0.3233,1.12188,1.4405,1.19604,0.0007055,0.0007055,0.0007055
46,3146.4,0.95103,1.17315,1.0773,0.53004,0.48626,0.50837,0.32695,1.14461,1.43103,1.23467,0.000693125,0.000693125,0.000693125
47,3214.41,0.95436,1.20901,1.06737,0.50323,0.51482,0.49202,0.31907,1.13916,1.54327,1.21337,0.00068075,0.00068075,0.00068075
48,3282.61,0.95591,1.13892,1.06887,0.56521,0.54849,0.53366,0.36472,1.0714,1.38388,1.17457,0.000668375,0.000668375,0.000668375
49,3350.78,0.94267,1.15529,1.07887,0.49244,0.58037,0.53497,0.35927,1.0655,1.46349,1.15783,0.000656,0.000656,0.000656
50,3418.82,0.9439,1.1156,1.06485,0.51723,0.54508,0.52053,0.35216,1.08763,1.45198,1.17858,0.000643625,0.000643625,0.000643625
51,3487.04,0.94755,1.1486,1.07997,0.49729,0.51747,0.51893,0.33996,1.1196,1.36877,1.20247,0.00063125,0.00063125,0.00063125
52,3555.35,0.91872,1.1103,1.04774,0.51624,0.49216,0.49521,0.33073,1.09809,1.51305,1.19096,0.000618875,0.000618875,0.000618875
53,3623.56,0.92997,1.09538,1.04301,0.52815,0.54617,0.54172,0.36412,1.08196,1.34929,1.18194,0.0006065,0.0006065,0.0006065
54,3691.67,0.92632,1.0877,1.05943,0.46224,0.59064,0.51375,0.33916,1.07408,1.37085,1.1767,0.000594125,0.000594125,0.000594125
